,_1,_2,lat,lon,casualities
0,,1659,51.519665,-0.226139,2066
1,Leicester Square,149,51.506075,-0.127093,164
2,Inner London,115,51.513241,-0.1366,125
3,The SeaShell of Lisson Grove,96,51.524273,-0.169017,121
4,Wellington Arch,92,51.500503,-0.149943,105
5,Cannon Street,92,51.512291,-0.094267,104
6,Asian Absolute,91,51.520404,-0.078937,101
7,Bi Wines & Spirits,81,51.515856,-0.108964,85
8,Arbor City Hotel,81,51.515159,-0.071663,91
9,Wigmore Hall,79,51.523401,-0.147862,90
10,Homeslice Pizza,77,51.516916,-0.141495,79
11,Ibis Budget London Whitechapel,77,51.518003,-0.064192,94
12,Concrete Hair Salon,75,51.512859,-0.118312,79
13,Camden Area,74,51.542662,-0.137561,84
14,Prescot House,72,51.507021,-0.074456,88
15,Dalston Kingsland Railway Station,72,51.546479,-0.084185,77
16,Ludgate Hill,71,51.514074,-0.104426,79
17,Portman Square,70,51.515817,-0.157394,77
18,Russell Square,69,51.516292,-0.130566,81
19,Grey Friars Monastery,67,51.518749,-0.104376,75
20,Winchester,66,51.528618,-0.119681,74
21,Curzon Plaza Mayfair,65,51.513795,-0.154593,73
22,The Gate Islington,64,51.525385,-0.114336,69
23,Kennington Park,63,51.482981,-0.111333,75
24,Lucky Chip,61,51.540755,-0.10274,67
25,CityView,61,51.534436,-0.057294,65
26,Grosvenor House A Jw Marriot Hotel,59,51.509403,-0.155491,63
27,Express By Holiday Inn City (London),59,51.529911,-0.077383,62
28,K West Hotel and Spa Non Refundable Room,57,51.50476,-0.215766,65
29,Local Fame,56,51.516212,-0.119903,62
30,Shadwell DLR Station,56,51.514678,-0.064333,67
31,Savage Garden LDN,56,51.509528,-0.079251,61
32,Rectory Road Railway Station,56,51.564962,-0.065228,65
33,Stratford Mainline Station,55,51.539597,-0.000545,65
34,Stamford Hill,53,51.569096,-0.065052,55
35,Clapton Railway Station,52,51.563507,-0.058797,55
36,Rush Common,52,51.461201,-0.115831,55
37,Clarence House,51,51.497313,-0.135953,57
38,George Hotel,51,51.526051,-0.127859,56
39,Regency Cafe,51,51.494895,-0.125247,58
40,Premier Inn London Blackfriars,50,51.523975,-0.213862,51
41,Streatham Train Station,50,51.432007,-0.129117,59
42,Drayton Park Railway Station,49,51.550121,-0.10913,53
43,Shepherd's Bush Boutique Hotel,49,51.505472,-0.227122,57
44,The Old Ship Inn Hackney,49,51.546002,-0.055215,57
45,Go Native Stratford East Apartments,48,51.556353,0.065252,53
46,Brixton Underground Station,48,51.461493,-0.111644,53
47,Westminster Abbey,47,51.499807,-0.128791,50
48,The Chelsea Harbour Hotel,47,51.481912,-0.18022,53
49,Hotel Millennium & Copthorne At Chelsea Fc,46,51.483253,-0.185496,48
50,Millennium Knightsbridge Club Room,46,51.501567,-0.160418,54
